2022-12-17 17:21:39.797 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2022-12-17 17:21:39.797 [info] Added views:workbench.panel.output in workbench.panel.output
2022-12-17 17:21:39.797 [info] Added views:terminal in terminal
2022-12-17 17:21:39.797 [info] Added views:outline in workbench.view.explorer
2022-12-17 17:21:39.797 [info] Added views:workbench.scm in workbench.view.scm
2022-12-17 17:21:39.797 [info] Added views:workbench.view.search in workbench.view.search
2022-12-17 17:21:39.797 [info] Added views:timeline in workbench.view.explorer
2022-12-17 17:21:39.797 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2022-12-17 17:21:39.921 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-12-17 17:21:40.556 [info] Added views:cell-tag in workbench.view.extension.jupyter
2022-12-17 17:21:41.137 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2022-12-17 17:21:42.252 [info] Added views:workbench.view.testing in workbench.view.extension.test
2022-12-18 09:12:22.277 [info] Added views:jupyterViewVariables in workbench.view.extension.jupyter-variables
2022-12-18 09:46:22.111 [info] Removed views:jupyterViewVariables from workbench.view.extension.jupyter-variables
2022-12-18 09:46:33.827 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-12-18 09:46:33.842 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-12-18 09:52:23.887 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-12-18 09:52:23.952 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-12-18 09:52:43.589 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-12-18 09:52:43.605 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-12-18 09:53:14.187 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-12-18 09:53:14.259 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-12-18 09:53:44.218 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-12-18 09:53:44.230 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-12-18 09:53:52.324 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-12-18 09:53:52.378 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-12-18 09:55:20.289 [info] Added views:jupyterViewVariables in workbench.view.extension.jupyter-variables
2022-12-18 10:00:54.206 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-12-18 10:00:54.244 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-12-18 10:01:54.601 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-12-18 10:01:54.661 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-12-18 10:01:57.571 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-12-18 10:01:57.589 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-12-18 10:02:05.352 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-12-18 10:02:05.405 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-12-18 10:02:21.005 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-12-18 10:02:21.024 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-12-18 10:02:28.131 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-12-18 10:02:28.209 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-12-18 10:05:41.534 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-12-18 10:05:41.548 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-12-18 10:05:49.008 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-12-18 10:05:49.080 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-12-18 11:06:15.686 [info] Removed views:workbench.view.testing from workbench.view.extension.test
